"","Effect","F","v1","v2","ncp","Rsq","upper.CL","lower.CL"
"1","poly(pca1_clima, 2)1",3.0808943429244,1,173,3.0808943429244,0.0174970393830703,0.075547455662949,0.000122127171890583
"2","poly(pca1_clima, 2)2",23.3879761650647,1,173,23.3879761650647,0.119090672564429,0.21760630340597,0.0450628608133011
"3","poly(Corg_percent, 2)1",2.57654609333704,1,173,2.57654609333704,0.0146747737705658,0.0699305602460859,7.43389119776708e-05
"4","poly(Corg_percent, 2)2",0.472233328582844,1,173,0.472233328582844,0.00272224159176162,0.0398262601688153,9.12882116863111e-06
"5","poly(pH, 2)2",0.11391678652411,1,173,0.11391678652411,0.000658045226165074,0.0317481639437857,6.38001974652588e-06
"6","poly(pH, 2)1",0.0336023547871331,1,173,0.0336023547871331,0.000194195545430737,0.0296290393675686,5.88766435252941e-06
"7","poly(cover_litter, 2)1",0.642738898834519,1,173,0.642738898834519,0.0037015017322952,0.0430834070541081,1.08252933192694e-05
"8","poly(cover_litter, 2)2",8.14317981810782,1,173,8.14317981810782,0.0449543826396593,0.121288099250974,0.00460117042759883
"9","grazing_intencity",2.60403486164798,1,173,2.60403486164798,0.0148290149693861,0.0702455560501695,7.63871268820171e-05
"10","mowing1",0.00100805256058111,1,173,0.00100805256058111,5.8268594612746e-06,0.028731738440068,5.69885599176066e-06
"11","Model",8.20417625745253,10,173,82.0417625745253,0.321679719220698,0.447637062209,0.244949585732862
